지점,일시,기온,강수량,풍속,습도,일조시간,적설량,지면온도,지중온도
108,2020-01-02 23:00,-0.4,,1.5,74,,,-0.8,2.6
108,2020-01-03 0:00,0,,2.6,74,,,-0.8,2.7
108,2020-01-03 1:00,-0.5,,1.4,78,,,-1,2.7
108,2020-01-03 2:00,-1.1,,1.4,80,,,-1.4,2.7
108,2020-01-03 3:00,-1.5,,1.5,82,,,-1.6,2.7
108,2020-01-03 4:00,-1.8,,2.2,81,,,-1.5,2.7
108,2020-01-03 5:00,-2,,1.5,81,,,-1.9,2.7
108,2020-01-03 6:00,-2.5,,2.4,85,,,-2,2.7
108,2020-01-03 7:00,-3,,1.4,86,,,-2.4,2.7
108,2020-01-03 8:00,-3.3,,1.7,86,0,,-2.6,2.7
108,2020-01-03 9:00,-2.6,,2.2,74,0.7,,-1.9,2.6
108,2020-01-03 10:00,-1,,2.2,60,1,,-0.9,2.7
108,2020-01-03 11:00,0.1,,3.2,48,1,,-0.3,2.6
108,2020-01-03 12:00,1.7,,2.4,42,1,,0.2,2.6
108,2020-01-03 13:00,2.9,,2,35,1,,1.4,2.6
108,2020-01-03 14:00,4,,3.1,30,1,,3.1,2.6
108,2020-01-03 15:00,4.1,,2.9,28,1,,2.8,2.6
108,2020-01-03 16:00,4.3,,2.1,30,1,,1.7,2.6
108,2020-01-03 17:00,3.3,,2.2,35,1,,0.2,2.6
108,2020-01-03 18:00,2.2,,1.3,38,0.1,,0,2.7
108,2020-01-03 19:00,1.3,,1.8,39,,,-0.4,2.7
108,2020-01-03 20:00,0.6,,1.2,43,,,-0.6,2.8
108,2020-01-03 21:00,-0.5,,1.2,48,,,-0.8,2.8
108,2020-01-03 22:00,-0.8,,0.6,50,,,-1.1,2.8
108,2020-01-03 23:00,-1,,0.6,55,,,-1.5,2.8
108,2020-01-04 0:00,-1.5,,1.4,58,,,-1.8,2.8
108,2020-01-04 1:00,-1.6,,1,59,,,-2.1,2.8
108,2020-01-04 2:00,-1.9,,0.7,63,,,-2.3,2.7
108,2020-01-04 3:00,-2.1,,1.1,59,,,-2.7,2.8
108,2020-01-04 4:00,-2.3,,1.5,62,,,-2.9,2.8
108,2020-01-04 5:00,-2.7,,1.4,64,,,-2.9,2.8
108,2020-01-04 6:00,-2.4,,1.3,64,,,-1.7,2.7
108,2020-01-04 7:00,-1.8,,1.6,62,,,-1.3,2.7
108,2020-01-04 8:00,-1.8,,1.1,63,0,,-1.5,2.7
108,2020-01-04 9:00,-1.5,,1.6,62,0,,-1.1,2.6
108,2020-01-04 10:00,0.1,,1.2,54,0.8,,-0.4,2.7
108,2020-01-04 11:00,2,,1.3,49,1,,-0.1,2.6
108,2020-01-04 12:00,4.2,,2.8,51,1,,0.4,2.6
108,2020-01-04 13:00,5,,2.9,42,1,,2.4,2.6
108,2020-01-04 14:00,5.6,,4,40,1,,4,2.5
108,2020-01-04 15:00,6.1,,2.2,33,1,,4.2,2.6
108,2020-01-04 16:00,5.6,,3.4,34,1,,2.6,2.6
108,2020-01-04 17:00,4.7,,3.5,36,1,,0.5,2.6
108,2020-01-04 18:00,3.6,,1.5,41,0.1,,0.1,2.7
108,2020-01-04 19:00,2.7,,0.8,44,,,-0.1,2.7
108,2020-01-04 20:00,1.8,,0.5,45,,,-0.5,2.7
108,2020-01-04 21:00,1.6,,1.9,43,,,-0.6,2.8
108,2020-01-04 22:00,1.2,,3.3,45,,,-0.7,2.8
108,2020-01-04 23:00,0.7,,3.5,48,,,-1,2.8
108,2020-01-05 0:00,-0.3,,0.8,53,,,-1.3,2.8
108,2020-01-05 1:00,-1,,1.6,53,,,-1.7,2.7
108,2020-01-05 2:00,-1.5,,0.8,52,,,-2.1,2.8
108,2020-01-05 3:00,-1.7,,2,55,,,-2.2,2.7
108,2020-01-05 4:00,-2.1,,0.7,55,,,-2.5,2.7
108,2020-01-05 5:00,-2.4,,0.9,55,,,-3,2.7
108,2020-01-05 6:00,-2.6,,0,58,,,-3.3,2.7
108,2020-01-05 7:00,-3,,0.4,59,,,-3.6,2.7
108,2020-01-05 8:00,-3.1,,1,61,0,,-3.7,2.7
108,2020-01-05 9:00,-2.7,,0.7,58,0.9,,-2.8,2.6
108,2020-01-05 10:00,-0.6,,0.8,50,1,,-1.3,2.6
108,2020-01-05 11:00,2.1,,0.7,42,1,,-0.3,2.6
108,2020-01-05 12:00,4,,1.1,35,1,,0.3,2.5
108,2020-01-05 13:00,5.5,,0.8,33,1,,1.8,2.5
108,2020-01-05 14:00,6,,1.8,32,1,,3.4,2.5
108,2020-01-05 15:00,6.5,,0.9,30,1,,3,2.5
108,2020-01-05 16:00,5.9,,1.2,29,0.2,,2.1,2.5
108,2020-01-05 17:00,5,,1.1,30,0,,0.6,2.5
108,2020-01-05 18:00,4,,0.3,37,0,,0,2.6
108,2020-01-05 19:00,3.3,,1.2,40,,,0,2.6
108,2020-01-05 20:00,2.9,,1,42,,,0,2.6
108,2020-01-05 21:00,2,,1.8,46,,,-0.2,2.7
108,2020-01-05 22:00,1.3,,1.3,44,,,-0.4,2.6
108,2020-01-05 23:00,0.7,,2.2,47,,,-0.5,2.7
108,2020-01-06 0:00,0.8,,1.3,46,,,-0.5,2.6
108,2020-01-06 1:00,0.7,,2.3,50,,,-0.6,2.6
108,2020-01-06 2:00,1.2,,3.4,44,,,-0.6,2.6
108,2020-01-06 3:00,1.1,,2.7,43,,,-0.6,2.6
108,2020-01-06 4:00,1.5,,1.8,41,,,-0.4,2.6
108,2020-01-06 5:00,1.7,,1.7,40,,,-0.4,2.6
108,2020-01-06 6:00,2,,2.1,40,,,-0.3,2.6
108,2020-01-06 7:00,2.1,,1.6,42,,,-0.3,2.6
108,2020-01-06 8:00,2.2,,1.3,43,0,,-0.2,2.6
108,2020-01-06 9:00,2.5,,0.7,42,0,,-0.1,2.5
108,2020-01-06 10:00,3,,2,44,0,,-0.1,2.5
108,2020-01-06 11:00,3.5,,3.4,45,0,,0,2.6
108,2020-01-06 12:00,4.5,0,3.5,51,0,,0.4,2.6
108,2020-01-06 13:00,4,,3.6,58,0,,0.7,2.6
108,2020-01-06 14:00,3.9,,4.9,65,0,,1.9,2.7
108,2020-01-06 15:00,3.7,0.1,4.5,70,0,,2.2,2.6
108,2020-01-06 16:00,3.3,,3.9,79,0,,2.1,2.6
108,2020-01-06 17:00,3,,3.5,83,0,,1.9,2.7
108,2020-01-06 18:00,2.8,0.6,4.5,89,0,,1.7,2.7
108,2020-01-06 19:00,3.1,,4.7,92,,,1.9,2.7
108,2020-01-06 20:00,3.4,,4.8,92,,,2.1,2.8
108,2020-01-06 21:00,3.6,0.5,4.5,93,,,2.4,2.8
108,2020-01-06 22:00,3.8,,4.3,94,,,2.5,2.8
108,2020-01-06 23:00,4,,3.4,94,,,2.7,2.8
108,2020-01-07 0:00,4.2,0.6,4.4,95,,,2.9,2.9
108,2020-01-07 1:00,4.3,,4.5,95,,,3.2,3
108,2020-01-07 2:00,4.4,,5.1,95,,,3.3,3
108,2020-01-07 3:00,4.6,2.1,4.5,95,,,3.5,3.1
108,2020-01-07 4:00,5.1,,2.9,95,,,3.8,3.1
108,2020-01-07 5:00,5.3,,3.1,95,,,4,3.1
108,2020-01-07 6:00,5.5,7.4,3.3,95,,,4.2,3.2
108,2020-01-07 7:00,5.6,,3.4,95,,,4.3,3.3
108,2020-01-07 8:00,5.6,,3.8,95,0,,4.4,3.3
108,2020-01-07 9:00,5.8,6.5,3.6,94,0,,4.7,3.4
108,2020-01-07 10:00,6,,4,94,0,,4.9,3.3
108,2020-01-07 11:00,6.3,,4.1,93,0,,5.6,3.4
108,2020-01-07 12:00,6.4,2.4,4.3,94,0,,5.9,3.5
108,2020-01-07 13:00,6.6,,2.9,95,0,,6.1,3.5
108,2020-01-07 14:00,6.7,,3.6,95,0,,6.2,3.7
108,2020-01-07 15:00,6.5,4.6,4,95,0,,6,3.8
108,2020-01-07 16:00,6.7,,4.8,96,0,,5.9,3.9
108,2020-01-07 17:00,6.8,,5,96,0,,5.9,3.9
108,2020-01-07 18:00,7,7.2,5.3,96,0,,5.9,4
108,2020-01-07 19:00,7.1,,5.6,95,,,6,4.1
108,2020-01-07 20:00,7,,5.3,95,,,6.1,4.2
108,2020-01-07 21:00,7.2,9,4.8,95,,,6.3,4.2
108,2020-01-07 22:00,7.3,,3.9,96,,,6.3,4.3
108,2020-01-07 23:00,7.5,,4.2,95,,,6.4,4.4
108,2020-01-08 0:00,7.7,7.1,0.7,96,,,6.5,4.5
108,2020-01-08 1:00,8.7,,5,96,,,7.2,4.5
108,2020-01-08 2:00,6.5,,5.8,95,,,6.2,4.6
108,2020-01-08 3:00,5,6.2,5.3,95,,,5.3,4.7
108,2020-01-08 4:00,3.1,,3.8,95,,,4.2,4.7
108,2020-01-08 5:00,2.4,,4.8,95,,,3.5,4.8
108,2020-01-08 6:00,1.8,4,6,95,,,2.8,4.8
108,2020-01-08 7:00,1.5,,3.2,95,,,2.3,4.7
108,2020-01-08 8:00,1.6,,2.5,95,0,,2.6,4.8
108,2020-01-08 9:00,2.2,1.4,1.8,95,0,,3.3,4.8
108,2020-01-08 10:00,2.7,,2.8,94,0,,3.9,4.7
108,2020-01-08 11:00,3.1,,2.5,91,0,,4.6,4.6
108,2020-01-08 12:00,3.2,0,3.3,87,0,,5.1,4.7
108,2020-01-08 13:00,3.4,,2.7,85,0,,5.4,4.6
108,2020-01-08 14:00,3.6,,2.2,83,0,,5.6,4.7
108,2020-01-08 15:00,3.9,,1.9,80,0,,5.8,4.6
108,2020-01-08 16:00,3.9,,1.8,80,0,,5.1,4.7
108,2020-01-08 17:00,3.9,,2.2,81,0,,4.3,4.7
108,2020-01-08 18:00,3.4,,3.7,83,0,,3.8,4.8
108,2020-01-08 19:00,2.3,,4,83,,,3.1,4.8
108,2020-01-08 20:00,1.5,,3.3,83,,,2.6,4.8
108,2020-01-08 21:00,0.2,,4.9,81,,,1.7,4.8
108,2020-01-08 22:00,0,,3,82,,,1.5,4.8
108,2020-01-08 23:00,-0.3,,3.1,75,,,1.1,4.7
108,2020-01-09 0:00,-0.4,,3.9,73,,,0.7,4.8
108,2020-01-09 1:00,-0.5,,2.1,70,,,0.5,4.7
108,2020-01-09 2:00,-0.5,,1,70,,,0.5,4.6
108,2020-01-09 3:00,-0.6,,2.2,70,,,0.4,4.6
108,2020-01-09 4:00,-0.8,,1.4,73,,,0.1,4.6
108,2020-01-09 5:00,-0.9,,2.4,72,,,0.1,4.5
108,2020-01-09 6:00,-1.8,,1.4,70,,,0,4.5
108,2020-01-09 7:00,-2.3,,1.2,74,,,-0.3,4.4
108,2020-01-09 8:00,-2.8,,2.5,75,0,,-0.6,4.3
108,2020-01-09 9:00,-2.7,,1.9,73,0.6,,-0.5,4.2
108,2020-01-09 10:00,-2.1,,2.5,68,1,,-0.2,4.2
108,2020-01-09 11:00,-1.6,,3.3,63,1,,-0.1,4.2
108,2020-01-09 12:00,-0.7,,3.3,57,1,,0.3,4.1
108,2020-01-09 13:00,0.1,,3.6,51,1,,4,4
108,2020-01-09 14:00,1.1,,3.3,51,1,,6.2,3.9
108,2020-01-09 15:00,1.7,,2.6,49,1,,5.9,4
108,2020-01-09 16:00,1.6,,2.2,49,1,,4.1,4
108,2020-01-09 17:00,0.6,,3.1,55,1,,1.4,4
108,2020-01-09 18:00,-0.4,,2.6,60,0.1,,0.4,4.2
108,2020-01-09 19:00,-0.8,,3.4,61,,,0,4.2
108,2020-01-09 20:00,-1.2,,2.4,62,,,-0.4,4.2
108,2020-01-09 21:00,-1.7,,0.5,67,,,-0.7,4.2
108,2020-01-09 22:00,-2.3,,0.6,67,,,-0.9,4.2
108,2020-01-09 23:00,-2.6,,0.6,72,,,-1,4.2
108,2020-01-10 0:00,-3.1,,1.1,76,,,-1.2,4.1
108,2020-01-10 1:00,-3.2,,0.6,78,,,-1.5,4
108,2020-01-10 2:00,-3.6,,0.9,77,,,-1.8,4
108,2020-01-10 3:00,-3.5,,0.6,78,,,-1.9,3.9
108,2020-01-10 4:00,-3.9,,1.1,83,,,-2.2,3.9
108,2020-01-10 5:00,-4.3,,2.1,77,,,-2.3,3.8
108,2020-01-10 6:00,-4.3,,1.4,80,,,-2.1,3.8
108,2020-01-10 7:00,-4.1,,0,77,,,-2.1,3.7
108,2020-01-10 8:00,-3.8,,1.3,79,0,,-2.1,3.6
108,2020-01-10 9:00,-3,,0,74,0,,-1,3.6
108,2020-01-10 10:00,-1.8,,0.9,68,0.4,,-0.3,3.5
108,2020-01-10 11:00,0.1,,1.5,62,1,,-0.1,3.4
108,2020-01-10 12:00,1.8,,0.8,55,1,,0.4,3.4
108,2020-01-10 13:00,2,,3.2,53,1,,1.5,3.4
108,2020-01-10 14:00,3,,2.2,44,1,,3.5,3.3
108,2020-01-10 15:00,3.8,,2.9,43,1,,4.3,3.3
108,2020-01-10 16:00,3.7,,2.2,41,1,,3.1,3.3
108,2020-01-10 17:00,2.7,,2.8,40,1,,0.5,3.4
108,2020-01-10 18:00,1.8,,2.6,45,0.1,,0.2,3.4
108,2020-01-10 19:00,1,,2.8,59,,,0,3.4
108,2020-01-10 20:00,0.5,,1.6,63,,,-0.3,3.4
108,2020-01-10 21:00,-0.2,,1.4,62,,,-0.5,3.5
108,2020-01-10 22:00,-0.3,,2.2,62,,,-0.7,3.5
108,2020-01-10 23:00,-0.9,,1.4,61,,,-0.8,3.5
108,2020-01-11 0:00,-1.1,,1.5,66,,,-0.9,3.4
108,2020-01-11 1:00,-1.5,,0.6,68,,,-1.2,3.4
108,2020-01-11 2:00,-1.7,,0.7,75,,,-1.4,3.3
108,2020-01-11 3:00,-1.8,,1.1,71,,,-1.7,3.3
108,2020-01-11 4:00,-2.2,,1.4,75,,,-1.9,3.3
108,2020-01-11 5:00,-2,,0.4,72,,,-1.4,3.3
108,2020-01-11 6:00,-1.8,,0.8,73,,,-1.6,3.2
108,2020-01-11 7:00,-2,,0.6,78,,,-2.2,3.2
108,2020-01-11 8:00,-2.5,,1.6,81,0,,-2.4,3.2
108,2020-01-11 9:00,-2.4,,1.1,77,0.6,,-1.7,3.2
108,2020-01-11 10:00,-1,,0.1,70,0.5,,-0.6,3.1
108,2020-01-11 11:00,1.5,,1.5,60,1,,-0.1,3.1
108,2020-01-11 12:00,2.6,,1.1,52,1,,0.5,3
108,2020-01-11 13:00,3.5,,2.7,44,1,,1.9,3
108,2020-01-11 14:00,3.4,,3.1,40,1,,4.1,3
108,2020-01-11 15:00,3.1,,3.2,41,1,,4,3
108,2020-01-11 16:00,3.6,,3,45,1,,3.1,3
108,2020-01-11 17:00,2.3,,2.9,51,1,,0.6,3.1
108,2020-01-11 18:00,1.1,,2.9,52,0,,0.1,3.1
108,2020-01-11 19:00,0.2,,1.4,53,,,-0.1,3.1
108,2020-01-11 20:00,0,,4.6,54,,,-0.3,3.2
108,2020-01-11 21:00,-0.3,,3.1,54,,,-0.4,3.2
108,2020-01-11 22:00,-0.7,,2.7,60,,,-0.5,3.2
108,2020-01-11 23:00,-1.1,,1.9,64,,,-0.6,3.2
108,2020-01-12 0:00,-1.4,,2.4,67,,,-0.5,3.2
108,2020-01-12 1:00,-1.5,,2.6,66,,,-0.5,3.2
108,2020-01-12 2:00,-1.7,,2.5,67,,,-0.6,3.2
108,2020-01-12 3:00,-1.9,,1.4,67,,,-0.7,3.1
108,2020-01-12 4:00,-2.3,,2.1,73,,,-1.1,3.1
108,2020-01-12 5:00,-2.8,,1,75,,,-1.3,3.1
108,2020-01-12 6:00,-3.1,,1.8,72,,,-1.8,3.1
108,2020-01-12 7:00,-3.3,,1.5,70,,,-1.4,3.1
108,2020-01-12 8:00,-3.3,,1.7,71,0,,-1.9,3
108,2020-01-12 9:00,-3,,2.2,70,0.5,,-1.3,3
108,2020-01-12 10:00,-2,,1.7,63,1,,-0.4,2.9
108,2020-01-12 11:00,-0.7,,2.3,57,1,,-0.1,2.9
108,2020-01-12 12:00,0.4,,3.6,47,1,,0.1,2.9
108,2020-01-12 13:00,1.3,,3,41,1,,0.9,2.9
108,2020-01-12 14:00,1.9,,3.9,41,1,,3.4,2.9
108,2020-01-12 15:00,2.4,,3,41,1,,4.2,2.8
108,2020-01-12 16:00,2.5,,2.8,43,1,,3.2,2.9
108,2020-01-12 17:00,1.1,,3.2,53,1,,0.6,3
108,2020-01-12 18:00,0,,3.4,60,0.1,,0.2,3
108,2020-01-12 19:00,-0.4,,2.7,62,,,-0.2,3.1
108,2020-01-12 20:00,-0.9,,1.9,62,,,-0.5,3.2
108,2020-01-12 21:00,-0.9,,2.8,62,,,-0.6,3.2
108,2020-01-12 22:00,-1.4,,3,64,,,-0.9,3.2
108,2020-01-12 23:00,-1.9,,2.3,73,,,-1.1,3.2
108,2020-01-13 0:00,-2,,2.7,73,,,-0.7,3.1
108,2020-01-13 1:00,-2.4,,2,72,,,-1.2,3.1
108,2020-01-13 2:00,-3.2,,1.6,73,,,-1.9,3.1
108,2020-01-13 3:00,-3.9,,0.7,72,,,-2.3,3.1
108,2020-01-13 4:00,-4.2,,0.9,72,,,-2.7,3.1
108,2020-01-13 5:00,-4.4,,0.7,73,,,-3,3
108,2020-01-13 6:00,-4.6,,1.1,75,,,-3.3,3
108,2020-01-13 7:00,-4.3,,1.9,71,,,-3,3
108,2020-01-13 8:00,-3.9,,3.1,71,0,,-3,3
108,2020-01-13 9:00,-3.9,,3.7,66,0,,-2.7,2.9
108,2020-01-13 10:00,-3,,2.8,55,0.8,,-1.9,2.9
108,2020-01-13 11:00,-2.2,,2.9,54,1,,-0.6,2.8
108,2020-01-13 12:00,-1.5,,3.4,45,1,,0,2.7
108,2020-01-13 13:00,-0.7,,2.8,37,1,,0.8,2.7
108,2020-01-13 14:00,-0.2,,4.5,34,1,,2.1,2.8
108,2020-01-13 15:00,-0.4,,4.3,33,1,,1.8,2.7
108,2020-01-13 16:00,0,,3.2,30,1,,0.7,2.7
108,2020-01-13 17:00,-0.9,,3.4,30,1,,-0.1,2.7
108,2020-01-13 18:00,-1.9,,2.4,34,0.3,,-0.5,2.7
108,2020-01-13 19:00,-2.3,,2.7,38,,,-0.8,2.7
108,2020-01-13 20:00,-2.8,,1.7,38,,,-1.4,2.8
108,2020-01-13 21:00,-3,,1.9,37,,,-2,2.7
108,2020-01-13 22:00,-3.6,,1.2,40,,,-2.5,2.7
108,2020-01-13 23:00,-4.2,,1,45,,,-2.9,2.7
108,2020-01-14 0:00,-4.4,,0.5,46,,,-3.2,2.7
108,2020-01-14 1:00,-4.4,,1.2,49,,,-3.5,2.7
108,2020-01-14 2:00,-4.4,,1.3,53,,,-3.6,2.7
108,2020-01-14 3:00,-4.6,,0.7,55,,,-4,2.7
108,2020-01-14 4:00,-4.9,,0.9,60,,,-4.3,2.6
108,2020-01-14 5:00,-5.4,,1,64,,,-4.5,2.6
108,2020-01-14 6:00,-5.5,,2.1,63,,,-4,2.5
108,2020-01-14 7:00,-5.5,,1.7,58,,,-3.6,2.5
108,2020-01-14 8:00,-5.5,,1.7,59,0,,-4,2.5
108,2020-01-14 9:00,-4.6,,2.2,57,0.2,,-3,2.5
108,2020-01-14 10:00,-3.5,,1.3,51,1,,-1.9,2.5
108,2020-01-14 11:00,-1.4,,1.1,41,1,,-0.5,2.4
108,2020-01-14 12:00,0.3,,1.4,35,1,,0,2.4
108,2020-01-14 13:00,1,,1.8,34,1,,1.3,2.4
108,2020-01-14 14:00,2,,2.7,30,1,,3.2,2.4
108,2020-01-14 15:00,2,,3.2,33,1,,2.5,2.3
108,2020-01-14 16:00,2.2,,2.4,22,1,,1.2,2.3
108,2020-01-14 17:00,1,,1.9,23,1,,-0.1,2.3
108,2020-01-14 18:00,-0.2,,1.9,28,0.3,,-0.4,2.3
108,2020-01-14 19:00,-0.8,,2.3,29,,,-0.7,2.3
108,2020-01-14 20:00,-1.7,,1.2,41,,,-1.3,2.3
108,2020-01-14 21:00,-2.3,,1.1,45,,,-1.9,2.3
108,2020-01-14 22:00,-3,,1.4,46,,,-2.5,2.3
108,2020-01-14 23:00,-3.2,,0.9,44,,,-3.1,2.3
108,2020-01-15 0:00,-3.8,,0.8,46,,,-3.6,2.3
108,2020-01-15 1:00,-4.1,,1.4,52,,,-3.7,2.3
108,2020-01-15 2:00,-4.9,,1.3,53,,,-4.1,2.3
108,2020-01-15 3:00,-5.1,,1.8,56,,,-4.4,2.2
108,2020-01-15 4:00,-5.3,,2.4,58,,,-4.5,2.2
108,2020-01-15 5:00,-5.5,,1.7,61,,,-4.8,2.2
108,2020-01-15 6:00,-5.9,,1,62,,,-5,2.2
108,2020-01-15 7:00,-6.2,,1.3,59,,,-5.2,2.2
108,2020-01-15 8:00,-6.3,,2.2,59,0,,-5.3,2.2
108,2020-01-15 9:00,-5.7,,2.3,55,0.9,,-4.4,2.1
108,2020-01-15 10:00,-3.9,,1.3,42,1,,-2.9,2.1
108,2020-01-15 11:00,-2,,2.2,31,1,,-1,2.1
108,2020-01-15 12:00,-1.3,,2.8,31,1,,0,2
108,2020-01-15 13:00,0.2,,2.1,26,1,,1.1,2
108,2020-01-15 14:00,0.7,,3.1,28,1,,3,2.1
108,2020-01-15 15:00,1.7,,2.2,31,1,,2.8,2.1
108,2020-01-15 16:00,2,,3.1,27,1,,1.2,2.1
108,2020-01-15 17:00,0.8,,2.3,30,1,,-0.2,2
108,2020-01-15 18:00,-0.3,,2,35,0.3,,-0.5,2
108,2020-01-15 19:00,-1.1,,2.1,41,,,-1,2.1
108,2020-01-15 20:00,-1.6,,1.8,46,,,-1.6,2
108,2020-01-15 21:00,-1.8,,1.7,49,,,-2.1,2
108,2020-01-15 22:00,-2.5,,0.8,51,,,-2.8,2
108,2020-01-15 23:00,-3.1,,1.6,42,,,-3.3,2.1
108,2020-01-16 0:00,-2.9,,1.5,39,,,-3.8,2
108,2020-01-16 1:00,-3.9,,1.5,46,,,-4.2,2
108,2020-01-16 2:00,-4.4,,0.5,48,,,-4.6,2
108,2020-01-16 3:00,-4.4,,0.9,52,,,-4.9,2
108,2020-01-16 4:00,-5.1,,1.4,52,,,-5.1,2
108,2020-01-16 5:00,-4.9,,2.2,51,,,-4.2,2
108,2020-01-16 6:00,-4.9,,1.7,53,,,-4.4,1.9
108,2020-01-16 7:00,-5.2,,0.7,54,,,-4.3,2
108,2020-01-16 8:00,-5.4,,1.1,56,0,,-4.6,2
108,2020-01-16 9:00,-4.8,,0.9,50,0.3,,-3.1,1.9
108,2020-01-16 10:00,-3.1,,1.2,43,1,,-1.9,1.9
108,2020-01-16 11:00,-1,,1.2,35,1,,-0.8,1.9
108,2020-01-16 12:00,0.6,,1.6,30,1,,0.1,1.9
108,2020-01-16 13:00,2.2,,1.9,25,1,,2.2,1.9
108,2020-01-16 14:00,2.4,,2.1,26,1,,4.5,1.9
108,2020-01-16 15:00,3,,2.4,26,1,,3.1,1.9
108,2020-01-16 16:00,2.6,,3.6,28,1,,1.8,1.9
108,2020-01-16 17:00,1.5,,4,32,1,,-0.1,1.9
108,2020-01-16 18:00,0.6,,2.2,34,0,,-0.3,1.9
108,2020-01-16 19:00,0.2,,2.6,37,,,-0.7,1.9
108,2020-01-16 20:00,-0.9,,1.9,45,,,-1.2,1.9
108,2020-01-16 21:00,-1.1,,1.4,47,,,-1.7,1.9
108,2020-01-16 22:00,-1.5,,1.6,49,,,-2.2,1.8
108,2020-01-16 23:00,-2.3,,1.3,55,,,-2.7,1.8
108,2020-01-17 0:00,-2.3,,0.6,52,,,-2.8,1.8
108,2020-01-17 1:00,-2.8,,0.6,56,,,-3.1,1.8
108,2020-01-17 2:00,-3.1,,0.5,57,,,-3.5,1.9
108,2020-01-17 3:00,-3.1,,0.9,50,,,-3.8,1.9
108,2020-01-17 4:00,-3.6,,0.8,56,,,-3.9,1.9
108,2020-01-17 5:00,-3.9,,1.1,54,,,-4.3,1.9
108,2020-01-17 6:00,-4.4,,1.4,57,,,-4.6,1.9
108,2020-01-17 7:00,-4.6,,1.5,57,,,-4.5,1.8
108,2020-01-17 8:00,-4.7,,1.8,57,0,,-4.2,1.8
108,2020-01-17 9:00,-4,,1,52,0,,-2.8,1.8
108,2020-01-17 10:00,-2.2,,1.7,43,0.9,,-1.4,1.8
108,2020-01-17 11:00,0,,1.1,34,1,,-0.4,1.7
108,2020-01-17 12:00,1.7,,0.9,33,1,,0.4,1.8
108,2020-01-17 13:00,3.3,,1.4,32,1,,2.9,1.7
108,2020-01-17 14:00,4.2,,2,31,1,,4.9,1.7
